question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
19,TF,If the discovery of linguistic phonemes had never occurred; later structural linguistics would lack a standard unit of speech analysis.,a,True,True,a,True,1
20,MCQ,If the discovery of the Afro-Asiatic language family had not occurred; which later discovery would lack crucial comparative evidence?,a,The discovery of ancient North African migration patterns,A,a,The discovery of ancient North African migration patterns,1
21,TF,If the discovery of Gödel’s incompleteness theorems never happened; limits of formal mathematical systems would remain misunderstood across logic and computer science.,a,True,True,a,True,1
22,MCQ,If the discovery of imaginary numbers had not occurred; which later discovery would lack mathematical feasibility?,a,The discovery of complex Fourier analysis,A,a,The discovery of complex Fourier analysis,1
23,TF,If the discovery of ancient water channels in Mesopotamia had not occurred; later discoveries about early irrigation societies would remain incomplete.,a,True,True,a,True,1
24,MCQ,If the discovery of the Harappan drainage system had not occurred; which later discovery would lack crucial architectural comparison?,a,The discovery of Roman aqueduct engineering parallels,A,a,The discovery of Roman aqueduct engineering parallels,1
25,TF,If the discovery of Polynesian wayfinding star charts had never occurred; later findings on transoceanic migration would lack direct navigational evidence.,a,True,True,a,True,1
26,MCQ,If the discovery of Saharan fossil riverbeds had not occurred; which later discovery would face interpretation issues?,a,The discovery of ancient human migration corridors into the Mediterranean,A,a,The discovery of ancient human migration corridors into the Mediterranean,1
27,TF,If the discovery of human mirror neurons never occurred; explanations for empathy and imitation in psychology would remain speculative.,a,True,False,b,False,0
28,MCQ,If the discovery of REM sleep patterns had not occurred; which later discovery would be less understood?,a,The discovery of memory consolidation during sleep,A,a,The discovery of memory consolidation during sleep,1
29,TF,If the discovery of the Mediterranean Bronze Age trade network had never been made; later discoveries about cultural diffusion would lack strong archaeological evidence.,a,True,True,a,True,1
30,MCQ,If the discovery of Viking presence in North America had not occurred; which later discovery would lose historical context?,a,The discovery of pre-Columbian transatlantic contact,A,a,The discovery of pre-Columbian transatlantic contact,1
31,TF,If the discovery of ancient Mayan astronomical observatories had never occurred; interpretations of premodern calendrical accuracy would remain underestimated.,a,True,True,a,True,1
32,MCQ,If the discovery of Babylonian trigonometric tablets had not occurred; which later discovery would lack historical continuity?,a,The discovery of modern trigonometric identities,A,a,The discovery of modern trigonometric identities,1
33,TF,If the discovery of ancient Australian rock art dating had never occurred; interpretations of early symbolic cognition would lack chronological anchors.,a,True,True,a,True,1
34,MCQ,If the discovery of the Denisovan cave genome had never happened; which later discovery would lack comparative data?,a,The discovery of gene flow between Denisovans and Southeast Asian islander populations,A,a,The discovery of gene flow between Denisovans and Southeast Asian islander populations,1
35,TF,If the discovery of medieval Islamic algebra manuscripts had not occurred; the history of mathematical development would lack key transitional evidence.,a,True,True,a,True,1
36,MCQ,If the discovery of irrational numbers had never occurred; which later discovery in mathematics would be obstructed?,a,The discovery of real number completeness,A,a,The discovery of real number completeness,1
37,TF,If the discovery of Homo floresiensis fossils had never occurred; interpretations of human species diversity would remain narrower.,a,True,True,a,True,1
38,MCQ,If the discovery of ancient Polynesian DNA signatures had not occurred; which later discovery would struggle for confirmation?,a,The discovery of Polynesian–South American contact probabilities,A,a,The discovery of Polynesian–South American contact probabilities,1
39,TF,If the discovery of the Silk Road’s full geographical extent had not occurred; later discoveries about cross-cultural exchange of ideas would lack infrastructural proof.,a,True,True,a,True,1
40,MCQ,If the discovery of ancient Chinese seismographs had not occurred; which later discovery would lack technological lineage?,a,The discovery of early earthquake detection principles,A,a,The discovery of early earthquake detection principles,1
41,TF,If the discovery of Bronze Age metallurgy techniques had never been made; interpretations of early economic specialization would lack technological clarity.,a,True,True,a,True,1
42,MCQ,If the discovery of obsidian trade routes had not occurred; which later discovery would lack evidence for prehistoric long-distance exchange?,a,The discovery of tool material sourcing across continents,A,a,The discovery of tool material sourcing across continents,1
43,TF,If the discovery of the Gregorian calendar’s astronomical basis had never occurred; timekeeping refinements in later eras would remain misaligned with solar cycles.,a,True,True,a,True,1
44,MCQ,If the discovery that the Nile flooded seasonally based on Ethiopian rainfall had not occurred; which later discovery would lack environmental coherence?,a,The discovery of ancient Egypt’s agricultural cycles,A,a,The discovery of ancient Egypt’s agricultural cycles,1
45,TF,If the discovery of Catalhöyük’s urban planning had not occurred; theories of early proto-cities would lack archaeological examples.,a,True,False,b,False,0
46,MCQ,If the discovery of Gobekli Tepe’s ritual structures had not happened; which later discovery would remain difficult to contextualize?,a,The discovery that cosmology and architecture intersected in early societies,A,a,The discovery that cosmology and architecture intersected in early societies,1
47,TF,If the discovery of ancient Greek proofs had never occurred; modern mathematical rigor would lack historical grounding in deductive reasoning.,a,True,True,a,True,1
48,MCQ,If the discovery of non-Euclidean geometry had not occurred; which later discovery would lack theoretical foundation?,a,The discovery of curved spacetime in general relativity,A,a,The discovery of curved spacetime in general relativity,1
49,TF,If the discovery of Bronze Age writing systems had not occurred; the historical chronology of early kingdoms would be largely speculative.,a,True,True,a,True,1
50,MCQ,If the discovery of ancient river delta settlements had not occurred; what later discovery would lose cultural context?,a,The discovery of maritime trade evolution,A,a,The discovery of maritime trade evolution,1
51,TF,If the discovery of human cognitive development stages never occurred; educational psychology models would lack foundational progression theories.,a,True,True,a,True,1
52,MCQ,If the discovery of attention span limits had not occurred; which later discovery in user-experience design would be weakened?,a,The discovery of interface cognitive load thresholds,A,a,The discovery of interface cognitive load thresholds,1
53,TF,If the discovery of macroeconomic boom-bust cycles had not occurred; later discoveries about systemic financial risk would remain disconnected.,a,True,True,a,True,1
54,MCQ,If the discovery of supply-and-demand equilibrium had not occurred; which later economic discovery would lack its mathematical basis?,a,The discovery of price elasticity theory,A,a,The discovery of price elasticity theory,1
55,TF,If the discovery of human serotonin pathways had not occurred; neuroscience explanations of mood regulation would lack biochemical grounding.,a,True,True,a,True,1
56,MCQ,If the discovery of neuroplasticity had never been made; which later discovery would lack mechanistic explanation?,a,The discovery of post-stroke cognitive recovery patterns,A,a,The discovery of post-stroke cognitive recovery patterns,1
57,TF,If the discovery of the El Niño climate oscillation had never occurred; global weather prediction discoveries would suffer significant uncertainty.,a,True,True,a,True,1
58,MCQ,If the discovery of monsoon cycle dynamics had not occurred; which later discovery would lack climatic grounding?,a,The discovery of Indian Ocean dipole patterns,A,a,The discovery of Indian Ocean dipole patterns,1
59,TF,If the discovery of ancient Greek democratic assemblies had never occurred; later political science discoveries about participatory governance would lack comparative origins.,a,True,False,b,False,0
60,MCQ,If the discovery of the Roman legal code had not occurred; which later discovery would lack historical precedent?,a,The discovery of modern civil law foundations,A,a,The discovery of modern civil law foundations,1
61,TF,If the discovery of ocean floor magnetic striping never occurred; evidence for plate spreading would be far weaker.,a,True,True,a,True,1
62,MCQ,If the discovery of deep Earth seismic shadow zones had not occurred; which later discovery would be unclear?,a,The discovery of Earth’s liquid outer core,A,a,The discovery of Earth’s liquid outer core,1
63,TF,If the discovery of snowball Earth geological evidence had not occurred; later discoveries about global climate cycles would lack extreme-case studies.,a,True,True,a,True,1
64,MCQ,If the discovery of glacial varves had never been made; which later discovery would struggle to emerge?,a,The discovery of annual paleoclimate dating,A,a,The discovery of annual paleoclimate dating,1
65,TF,If the discovery of archaic trade weights had never occurred; the study of early standardization systems would lack empirical evidence.,a,True,True,a,True,1
66,MCQ,If the discovery of ancient currency hoards had not occurred; which later discovery would lack comparative data?,a,The discovery of regional economic integration levels,A,a,The discovery of regional economic integration levels,1
67,TF,If the discovery of human cultural hearth regions had not occurred; patterns of early innovation diffusion would remain poorly explained.,a,True,True,a,True,1
68,MCQ,If the discovery of Austronesian expansion evidence had never occurred; which later discovery would lose coherence?,a,The discovery of Lapita pottery distribution,A,a,The discovery of Lapita pottery distribution,1
69,TF,If the discovery of ancient flood myths alignment across cultures had not occurred; comparative mythology discoveries would lack cross-civilizational support.,a,True,True,a,True,1
70,MCQ,If the discovery of Göbekli Tepe’s astronomical alignment had never occurred; which later discovery would lack symbolic context?,a,The discovery that prehistoric architecture encoded celestial cycles,A,a,The discovery that prehistoric architecture encoded celestial cycles,1
71,TF,If the discovery of the spice trade’s global extent never occurred; later discoveries about mercantile economic shifts would lack foundational evidence.,a,True,True,a,True,1
72,MCQ,If the discovery of ancient shipwreck cargo manifests had not occurred; which later discovery would lack maritime evidence?,a,The discovery of interregional commodity specialization,A,a,The discovery of interregional commodity specialization,1
73,TF,If the discovery of early astronomical star catalogs had not occurred; later discoveries of premodern navigation accuracy would lack empirical support.,a,True,True,a,True,1
74,MCQ,If the discovery of precession of the equinoxes had not occurred; which later discovery would lack theoretical grounding?,a,The discovery of long-term climate astronomical cycles,A,a,The discovery of long-term climate astronomical cycles,1
75,TF,If the discovery of the metric system’s scientific basis never occurred; later global standardization efforts would lack rational calibration principles.,a,True,False,b,False,0
76,MCQ,If the discovery of prime number distribution patterns had not occurred; which later mathematical discovery would struggle?,a,The discovery of modern cryptographic algorithms,A,a,The discovery of modern cryptographic algorithms,1
77,TF,If the discovery of stratified societal classes in ancient records had never occurred; sociological theories about early inequalities would lack historical grounding.,a,True,True,a,True,1
78,MCQ,If the discovery of the Code of Hammurabi had not occurred; which later discovery would lack jurisprudential lineage?,a,The discovery of early legal standardization principles,A,a,The discovery of early legal standardization principles,1
79,TF,If the discovery of ancient irrigation agriculture had never occurred; later discoveries about settlement density would lack explanatory mechanisms.,a,True,True,a,True,1
80,MCQ,If the discovery of terraced farming in the Andes had not occurred; which later discovery would be weakened?,a,The discovery of high-altitude agricultural adaptation,A,a,The discovery of high-altitude agricultural adaptation,1
81,TF,If the discovery of the Silk Road Buddhist transmission had never occurred; later discoveries about religious diffusion would lack cross-cultural evidence.,a,True,False,b,False,0
82,MCQ,If the discovery of pre-Islamic Arabian trade hubs had not occurred; which later discovery would lose economic context?,a,The discovery of early Meccan trade networks,A,a,The discovery of early Meccan trade networks,1
83,TF,If the discovery of early Greek philosophical schools had never occurred; later discoveries about Western logic frameworks would lack historical roots.,a,True,True,a,True,1
84,MCQ,If the discovery of Buddhist Abhidharma texts had not occurred; which later discovery would lack comparative tradition context?,a,The discovery of cross-cultural theories of mind,A,a,The discovery of cross-cultural theories of mind,1
85,TF,If the discovery of ancient trade winds had not occurred; later navigation discoveries would lack systemic explanation for consistent oceanic travel patterns.,a,True,True,a,True,1
86,MCQ,If the discovery of monsoon reversal patterns had not occurred; which later discovery would lack climatic grounding?,a,The discovery of Indian Ocean seasonal trade cycles,A,a,The discovery of Indian Ocean seasonal trade cycles,1
87,TF,If the discovery of genetic drift had never occurred; evolutionary population models would lack stochastic components.,a,True,False,b,False,0
88,MCQ,If the discovery of epigenetic inheritance had not occurred; which later discovery would lack molecular grounding?,a,The discovery of environmentally induced gene expression changes,A,a,The discovery of environmentally induced gene expression changes,1
89,TF,If the discovery of chronobiology never occurred; explanations for species-specific circadian cycles would remain fragmented.,a,True,True,a,True,1
90,MCQ,If the discovery of melatonin regulation had not occurred; which later discovery would be harder to interpret?,a,The discovery of sleep-wake cycle entrainment,A,a,The discovery of sleep-wake cycle entrainment,1
91,TF,If the discovery of monotheistic textual synchronicity had never occurred; later discoveries in comparative religion would lack structural parallels.,a,True,False,b,False,0
92,MCQ,If the discovery of ancient Zoroastrian ritual texts had not occurred; which later discovery would lack comparative theological grounding?,a,The discovery of cross-influences between Abrahamic traditions,A,a,The discovery of cross-influences between Abrahamic traditions,1
93,TF,If the discovery of deep Earth mineral inclusions in diamonds had never occurred; explanations for mantle composition would lack physical samples.,a,True,True,a,True,1
94,MCQ,If the discovery of volcanic hotspot chains had not occurred; which later discovery would lack structural evidence?,a,The discovery of plate motion vectors,A,a,The discovery of plate motion vectors,1
95,TF,If the discovery of the genetic code’s universality never occurred; explanations for cross-species protein synthesis would lack mechanistic unity.,a,True,True,a,True,1
96,MCQ,If the discovery of ribozymes had not occurred; which later discovery would lack molecular support?,a,The discovery of the RNA world hypothesis,A,a,The discovery of the RNA world hypothesis,1
97,TF,If the discovery of ancient Babylonian market tablets had not occurred; economic historians would lack early quantitative trade records.,a,True,True,a,True,1
98,MCQ,If the discovery of medieval Silk Road taxation ledgers had never occurred; which later discovery would struggle for validation?,a,The discovery of population-level trade imbalances,A,a,The discovery of population-level trade imbalances,1
99,TF,If the discovery of genetic bottleneck events never occurred; explanations for reduced genetic diversity in certain populations would lack historical context.,a,True,True,a,True,1
100,MCQ,If the discovery of ancient megafauna extinction timelines had not occurred; which later discovery would lack ecological grounding?,a,The discovery of human-impact driven extinction waves,A,a,The discovery of human-impact driven extinction waves,1
