question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Given the Battle of Singapore and the Fernando Collor's Impeachment; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
32,TF,Given the Forced Sedentarization of Nomads and the Mexican War of Independence Begins; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
33,TF,Given the Establishment of Joseon Dynasty and the Independence from Britain; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
34,TF,Given the Marco Polo's Visit to Yuan Dynasty China and the The Restoration of the Monarchy; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
35,TF,Given the End of the Civil War and the French and Indian War; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
36,TF,Given the Russian Civil War and the Grenfell Tower Fire; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
37,TF,Given the Armistice Agreement and the Independence from France; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
38,TF,Given the Establishment of the Colony of Van Diemen's Land and the Fall of Mussolini; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
39,TF,Given the Establishment of the National Assembly and the Return to Democracy; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
40,TF,Given the Korean War and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
41,TF,Given the Founding of the People's Republic of China and the Reform Act 1832; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
42,TF,Given the First Round Table Conference and the Civil Rights Act of 1964; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
43,TF,Given the ANZUS Treaty Suspension and the Lapland War; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
44,TF,Given the Boxer Rebellion and the Creation of the Canadian Flag; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
45,TF,Given the Assassination of Benazir Bhutto and the Roe v. Wade Supreme Court Decision; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
46,TF,Given the Cable Car Disaster and the The Peace of Augsburg; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
47,TF,Given the Federation of Australia and the Establishment of the Spanish Inquisition; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
48,TF,Given the 18th Amendment to the Constitution and the Dred Scott Decision; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
49,TF,Given the India's First Transgender University and the Pakatan Harapan Electoral Victory; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
50,TF,Given the Establishment of the Provisional Government and the Independence from France; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
51,TF,Given the Beslan School Siege and the Launch of the First Crusade; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
52,TF,Given the Labour Party Elected for the First Time and the Black Death in Norway; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
53,TF,Given the Maria Hertogh Riots and the Mensalão Scandal; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
54,TF,Given the Mongol Conquest and the Yuan Dynasty Establishment and the Apology to Residential School Survivors; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
55,TF,Given the Great Leap Forward and the Queen Victoria's Reign Begins; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
56,TF,Given the Launch of Sputnik 1 and the UK Hosts the G8 Summit; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
57,TF,Given the Constitutional Crisis in Russia and the UK Hosts the First Rugby World Cup; it is possible for someone to have lived during both of them.,a,True,False,b,False,0
58,TF,Given the Surrender of Singapore to Japan and the The Investiture Controversy; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
59,TF,Given the Chernobyl Nuclear Disaster and the The Armada Portrait of Elizabeth I; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
60,TF,Given the China Hosts the Olympic Games and the Red River Resistance; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
61,TF,Given the Eureka Stockade and the Signing of the Treaty of Rome; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
62,TF,Given the Decriminalization of Homosexuality and the Rwandan Genocide; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
63,TF,Given the Korean War and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
64,TF,Given the Lahore Resolution (Pakistan Resolution) and the First Woman Vice President Elected; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
65,TF,Given the Manchu Invasions of Korea and the Mahdist War; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
66,TF,Given the First General Elections and the ISIS Captures Mosul; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
67,TF,Given the Xinhai Revolution and the End of Imperial China and the Fort McMurray Wildfire; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
68,TF,Given the Gwadar Port Development and the Attack on Pearl Harbor; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
69,TF,Given the Construction of the Great Wall and the Canada Act 1982 (Patriation of the Constitution); it is possible for someone to have lived during both of them.,b,False,False,b,False,1
70,TF,Given the Australian Involvement in WWII Begins and the Reconquista Completion; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
71,TF,Given the Port Arthur Massacre and the Exhumation of Francisco Franco; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
72,TF,Given the Economic Development and the Amazon Rainforest Wildfires; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
73,TF,Given the August Revolution and the Namibian Independence; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
74,TF,Given the Treaty of Punakha and the Napoleonic Wars and the Battle of Leipzig; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
75,TF,Given the Mongol Invasion of Rus' and the National Health Service Established; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
76,TF,Given the Declaration of Independence and the Land Reform Program Begins; it is possible for someone to have lived during both of them.,a,True,False,b,False,0
77,TF,Given the Auckland Harbour Bridge Protests and the Algerian War of Independence; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
78,TF,Given the New Zealand Bill of Rights Act and the Foundation of Marrakech; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
79,TF,Given the G20 Summit Hosted in Riyadh and the Real Plan Implementation; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
80,TF,Given the Made in China 2025 Initiative Announced and the Abolition of the Slave Trade Act; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
81,TF,Given the Founding of the Song Dynasty and the NAFTA Agreement Signed; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
82,TF,Given the Income Doubling Plan Announced and the Punic Wars Begin; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
83,TF,Given the Korean Liberation and the Ethiopian Revolution; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
84,TF,Given the Bengal Famine of 1943 and the Vietnam War; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
85,TF,Given the Waitangi Day Established and the Liberation of Denmark; it is possible for someone to have lived during both of them.,a,True,False,b,False,0
86,TF,Given the Osaka Expo '70 and the Crowning of Charlemagne; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
87,TF,Given the Introduction of Buddhism and the Battle of Stalingrad; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
88,TF,Given the Arrival of the First Fleet and the Italy Enters World War II; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
89,TF,Given the Mabo v Queensland Decision and the 2004 Madrid Train Bombings; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
90,TF,Given the Trần Dynasty Defeats Mongol Invasions and the Independence from Belgium; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
91,TF,Given the First Saudi State Established and the Joseph Kony Insurgency Declines; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
92,TF,Given the Operation Blue Star and the First Democratic Elections; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
93,TF,Given the Faisal I Becomes King of Iraq and the Economic Crisis and IMF Loan; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
94,TF,Given the Treaty of Sinchula and the May Revolution; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
95,TF,Given the Independence from British Rule and the Marshall Plan Implementation; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
96,TF,Given the Ikhwan Revolt and the Seleka Rebellion Begins; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
97,TF,Given the Xi Jinping Assumes Presidency and the Great Fire of London; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
98,TF,Given the Kargil Conflict and the Assassination of President John F. Kennedy; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
99,TF,Given the Kartarpur Corridor Opening and the Charlottesville Rally and Violence; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
100,TF,Given the Invention of Printing Technology and the Discovery of Oil in Alberta; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
101,TF,Given the British Mandate of Mesopotamia and the The Foundation of the Kingdom of Prussia; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
102,TF,Given the Silk Road Establishment and the Klondike Gold Rush; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
103,TF,Given the Mongol Invasions of Japan and the Napoleonic Code Enacted; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
104,TF,Given the Aum Shinrikyo Tokyo Subway Sarin Attack and the Leonardo da Vinci Completes the Mona Lisa; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
105,TF,Given the Onin War and the May 1968 Protests; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
106,TF,Given the Gia Long Becomes Emperor and the Independence from France; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
107,TF,Given the Foundation of Baghdad and the Construction of the Berlin Wall; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
108,TF,Given the Baghdad Pact and the First Presidency of Juan Domin go Perón; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
109,TF,Given the Korean War Involvement and the Peninsular War; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
110,TF,Given the Taisho Democracy and the Louis XVI Executed; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
111,TF,Given the Khashoggi Assassination and the Direct Elections Now Campaign; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
112,TF,Given the THAAD Deployment Controversy and the Comprehensive Peace Agreement; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
113,TF,Given the 2016 Uri Attack and Subsequent Surgical Strikes and the Declaration of Independence; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
114,TF,Given the Abolition of Instant Triple Talaq and the SilkAir Flight 185; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
115,TF,Given the The Founding of Melbourne and the Treaty of the Pyrenees; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
116,TF,Given the Australia Acts 1986 and the Catalan Independence Referendum; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
117,TF,Given the October Revolution and the Scottish Independence Referendum; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
118,TF,Given the Battle of Điện Biên Phủ and the End of Sierra Leone Civil War; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
119,TF,Given the India's First Hyperloop Project Announcement and the New Economic Policy Introduced; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
120,TF,Given the Sakoku Edict of 1635 and the Battle of Agincourt; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
121,TF,Given the Victory over Terrorism Day and the Trail of Tears; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
122,TF,Given the 2013 Uttarakhand Floods and the Japan Airlines Flight 123; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
123,TF,Given the Japanese Occupation of Malaya and the Conquest of the Desert; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
124,TF,Given the Fall of Saigon and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
125,TF,Given the The Great Depression Hits Australia and the 2006 Winter Olympics in Turin; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
126,TF,Given the Formation of the United Malays National Organisation and the Beginning of World War II; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
127,TF,Given the First Executive President Elected and the Alaska Purchase; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
128,TF,Given the Article 370 Revocation for Jammu & Kashmir and the Presidential Transition; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
129,TF,Given the Introduction of the New Zealand Constitution Act and the Leyes de Indias; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
130,TF,Given the Indus Water Treaty and the Launch of James Webb Space Telescope; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
131,TF,Given the State Housing Introduced and the Winter War; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
132,TF,Given the Comprehensive Agreement on Investment with the EU and the Women's Suffrage Achieved; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
133,TF,Given the Collectivization in Uzbekistan and the Falklands War; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
134,TF,Given the Pueblo Incident and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,False,b,False,0
135,TF,Given the Destruction of the First Saudi State and the Fall of Gaddafi; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
136,TF,Given the Vietnam Joins the World Trade Organization and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
137,TF,Given the Partition Plan Announced and the Watergate Scandal; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
138,TF,Given the Karachi Nuclear Power Plant Operational and the Prohibition Era Begins; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
139,TF,Given the Moscow Conference of Foreign Ministers and the Discovery of Penicillin; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
140,TF,Given the Annexation of Hejaz and the Coup d'état; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
141,TF,Given the Abolition of FATA and the Withdrawal from Afghanistan; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
142,TF,Given the Introduction of Islam officially and the Congress of Vienna; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
143,TF,Given the Apology to the Stolen Generations and the ETA's Permanent Ceasefire; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
144,TF,Given the Introduction of UPI (Unified Payment Interface) and the Pakistan International Airlines Flight 268; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
145,TF,Given the Fall of the Ming Dynasty and Rise of the Qing and the Vancouver Winter Olympics; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
146,TF,Given the Cultural Revolution and the Quebec Referendum on Sovereignty; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
147,TF,Given the Arrival of Vasco da Gama and the Independence from the Soviet Union; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
148,TF,Given the Putin's First Presidential Term and the Signing of the Treaty of Verdun; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
149,TF,Given the Purna Swaraj Declaration and the September 11 Attacks; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
150,TF,Given the Sultanate Becomes a British Protectorate and the Kristallnacht (Night of Broken Glass); it is possible for someone to have lived during both of them.,a,True,True,a,True,1
151,TF,Given the Constitution of India Adopted and the Fall of the Berlin Wall; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
152,TF,Given the Anzac Forces Land at Gallipoli and the Establishment of the Kalmar Union; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
153,TF,Given the Treaty of Waitangi Act 1975 and the Union with Sweden; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
154,TF,Given the Kyoto Protocol on Climate Change and the Galileo Galilei's Telescope Presentation; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
155,TF,Given the SARS Epidemic and the Good Friday Agreement; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
156,TF,Given the Introduction of Nuclear Free Zone and the First Schleswig War; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
157,TF,Given the Death of Joseph Stalin and the Queen Elizabeth II's Coronation; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
158,TF,Given the Iwakura Mission and the Paris Commune; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
159,TF,Given the Creation of Pakistan and the George Floyd Protests and Derek Chauvin Trial; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
160,TF,Given the Taika Reforms and the Beginning of the French Renaissance; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
161,TF,Given the Treaty of Friendship and Alliance and the FIFA World Cup Victory; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
162,TF,Given the Taj Mahal and the #MeToo Movement; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
163,TF,Given the Unification of Bhutan and the Treaty on the Final Settlement with Respect to Germany; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
164,TF,Given the Foundation of Modern Iraq and the World War I; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
165,TF,Given the Federated Malay States Formed and the Legalization of Abortion; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
166,TF,Given the Vietnam War Involvement and the Francoist Spain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
167,TF,Given the Establishment of the University of Ceylon and the Confederation of Canada; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
168,TF,Given the Sinhala Only Act and the United Nations Charter Ratification; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
169,TF,Given the Protection of Women Act and the Completion of the Panama Canal; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
170,TF,Given the Launch of 5G Services and the Formation of Malaysia; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
171,TF,Given the 1981 Springbok Tour Protests and the Founding of Oslo; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
172,TF,Given the Ram Mandir Bhoomi Pujan and the 1969 Race Riots; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
173,TF,Given the French Colonization Begins and the Independence from Britain; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
174,TF,Given the Land Reform Law Enacted and the Completion of the Canadian Pacific Railway; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
175,TF,Given the National Database and Registration Authority (NADRA) Establishment and the Entry into World War I; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
176,TF,Given the Japanese Occupation and the French Intervention in Mexico; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
177,TF,Given the Gold Rushes Begin and the Italian Republic Established; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
178,TF,Given the 1987 New Zealand Constitution Act and the Great Zimbabwe Era; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
179,TF,Given the Battle of Stalingrad and the Chartist Movement; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
180,TF,Given the Great Hanshin Earthquake and the Fall of Constantinople; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
181,TF,Given the Establishment of the National Liberation Front and the Tunisian Revolution; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
182,TF,Given the Khrushchev's Secret Speech and the First English Parliament; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
183,TF,Given the Shanghai Cooperation Organization Establishment and the Defeat of the Spanish Armada; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
184,TF,Given the Tiananmen Square Protests and the Establishment of the Welfare State; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
185,TF,Given the Samarkand becomes part of the Uzbek SSR and the Hyperinflation Crisis; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
186,TF,Given the Lý Dynasty Founded and the Independence from Britain; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
187,TF,Given the Paris Peace Accords and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
188,TF,Given the Kokoda Trail Campaign and the Funding of Christopher Columbus' Voyage; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
189,TF,Given the Start of Swachh Bharat Mission and the Wenzhou Train Collision; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
190,TF,Given the Collectivization of Agriculture and the The Glorious Revolution; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
191,TF,Given the The Great Strike of 1917 and the Mani Pulite (Clean Hands) Investigation Begins; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
192,TF,Given the Establishment of the Democratic People's Republic of Korea and the Battle of Algiers; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
193,TF,Given the British Occupation of Basra and the Colonial Period Begins; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
194,TF,Given the 'Tampa' Refugee Crisis and the Discovery of Altamira Cave Paintings; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
195,TF,Given the Foundation of Kievan Rus' and the Battle of Britain; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
196,TF,Given the First Indochina War Begins and the Algerian Civil War Ends; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
197,TF,Given the Introduction of Free Education Act and the Boston Massacre; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
198,TF,Given the Japan Joins the United Nations and the Rise of the Roman Republic; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
199,TF,Given the Introduction of English as a Medium of Education and the Declaration of Independence; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
200,TF,Given the Singapore Joins the United Nations and the The Black Death in Europe; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
201,TF,Given the University of Malaya Formation and the FHC Presidency (Fernando Henrique Cardoso); it is possible for someone to have lived during both of them.,a,True,True,a,True,1
202,TF,Given the Battle of Điện Biên Phủ and the Independence from Britain; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
203,TF,Given the Treaty of Jeddah and the Boko Haram Insurgency Intensifies; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
204,TF,Given the Emergency Declared by Indira Gandhi and the Currency Convertibility Introduced; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
205,TF,Given the Establishment of the Juche Ideology and the August Revolution; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
206,TF,Given the Black Saturday Bushfires and the Spanish Flu Pandemic; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
207,TF,Given the 2019 Easter Bombings and the Gilded Age; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
208,TF,Given the Formation of Indian National Congress and the Louisiana Purchase; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
209,TF,Given the Yalta Conference and the British Exit from the European Exchange Rate Mechanism; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
210,TF,Given the Perestroika and Glasnost Reforms and the The Plague (Black Death) Arrives in England; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
211,TF,Given the Formation of the Viet Minh and the Gacaca Courts Initiated; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
212,TF,Given the Jeju Uprising and the Independence from Portugal; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
213,TF,Given the Division of Korea and the Nigerian Civil War; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
214,TF,Given the Vision 2030 Announced and the Proclamation of the Republic; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
215,TF,Given the Zheng He's Expeditions and the Conscription Crisis of 1944; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
216,TF,Given the Founding Member of the Arab League and the Nairobi's DusitD2 Complex Attack; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
217,TF,Given the Forbidden City Completion and the Act of Union with Scotland; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
218,TF,Given the Partition of India and the 1958 Iraqi Revolution; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
219,TF,Given the Mongol Invasions of Korea and the Somali Civil War Begins; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
220,TF,Given the China Joins the World Trade Organization (WTO) and the Suez Crisis; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
221,TF,Given the Founding of Saudi Aramco and the Fall of Blaise Compaoré; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
