question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,If the Byzantine Empire had successfully repelled the Ottoman siege in 1453; would Western Europe's Renaissance trajectory have changed significantly?,b,False,False,b,False,1
60,MCQ,If the Tang Dynasty had maintained control over Central Asia after 750 CE; what is the most likely development?,a,Chinese cultural influence expands deeper into Persia,A,a,Chinese cultural influence expands deeper into Persia,1
61,TF,If the Roman Empire had survived intact into the 8th century; the rise of Islam would have been unaffected.,b,False,False,b,False,1
62,MCQ,If the Athenian Empire had defeated Sparta in the Peloponnesian War; which long-term outcome is most plausible?,a,Athens maintains a powerful maritime empire,A,a,Athens maintains a powerful maritime empire,1
63,TF,If the Assyrian Empire had not been unusually brutal in its governance; its collapse would still have been inevitable.,a,True,False,b,False,0
64,MCQ,If Persia had successfully conquered Greece in 480 BCE; what long-term development becomes most plausible?,a,Greek culture continues under Persian patronage,B,b,Rome remains a minor power,0
65,TF,If the Kingdom of Kush had controlled Lower Egypt for longer; Mediterranean power dynamics would have developed the same way.,b,False,False,b,False,1
66,MCQ,If the Olmecs had developed writing earlier; which development is most plausible?,a,Mesoamerican cultures share a unified written tradition,A,a,Mesoamerican cultures share a unified written tradition,1
67,TF,If ancient Rome had abolished slavery early in its history; its economic expansion would have followed the same trajectory.,b,False,False,b,False,1
68,MCQ,If the Sumerians had developed long-distance maritime navigation; which outcome becomes most plausible?,a,Sumerian trade reaches the Indus Valley directly,A,a,Sumerian trade reaches the Indus Valley directly,1
69,TF,If the Hittite Empire had not collapsed during the Bronze Age Collapse; the rise of Assyria would still have occurred.,a,True,False,b,False,0
70,MCQ,If the Shang Dynasty had expanded deeper into the northern steppes; which long-term effect is most plausible?,a,Nomadic confederations form later,A,a,Nomadic confederations form later,1
71,TF,If ancient Phoenicians had never developed their alphabet; Mediterranean literacy patterns would have remained unchanged.,b,False,False,b,False,1
72,MCQ,If the Urartu Kingdom had expanded successfully against Assyria; which outcome is most plausible?,a,A powerful Armenian empire emerges,A,a,A powerful Armenian empire emerges,1
73,TF,If the ancient Athenian democracy had allowed broader political inclusion; Greek political development would have been identical.,b,False,False,b,False,1
74,MCQ,If the Nabateans had expanded their Arabian trade monopoly further; which development is most plausible?,a,Rome faces stronger resistance in the Near East,A,a,Rome faces stronger resistance in the Near East,1
75,TF,If ancient China had not developed paper in the Han period; literacy rates would have been unaffected.,b,False,False,b,False,1
76,MCQ,If the Etruscans had dominated early Italy longer; what is the most plausible effect?,a,Roman cultural identity develops differently,A,a,Roman cultural identity develops differently,1
77,TF,If the ancient Celts had developed centralized states; Rome would still have dominated Western Europe.,a,True,False,b,False,0
78,MCQ,If the Moche civilization in Peru had expanded into the Andes earlier; which outcome becomes most plausible?,b,The Inca Empire never forms,A,a,Andean polities unify centuries earlier,0
79,TF,If the Akkadians had resisted drought more effectively; the rise of later Mesopotamian empires would still have occurred as historically.,a,True,False,b,False,0
80,MCQ,If the ancient Israelites had established a larger territorial kingdom; which long-term outcome becomes most plausible?,a,Regional empires treat Israel as a major power,A,a,Regional empires treat Israel as a major power,1
81,TF,If ancient Mesopotamia had not developed cuneiform; early administrative systems across the Near East would have evolved identically.,b,False,False,b,False,1
82,MCQ,If the Kingdom of Aksum had expanded aggressively into the Arabian Peninsula; which outcome is most plausible?,a,Aksum controls Red Sea trade for centuries,A,a,Aksum controls Red Sea trade for centuries,1
83,TF,If the ancient Hebrews had not developed monotheism; the rise of later Abrahamic religions would be unchanged.,b,False,False,b,False,1
84,MCQ,If the Assyrians had adopted less militaristic strategies; which long-term result is most plausible?,a,The empire survives significantly longer,A,a,The empire survives significantly longer,1
85,TF,If the Huns had not pressured Germanic tribes into Roman territory; the Western Roman Empire would have collapsed on the same timeline.,b,False,False,b,False,1
86,MCQ,If the Scythians had formed a centralized empire; which development is most plausible?,a,Eurasian nomadic confederations stabilize earlier,D,d,Persia becomes isolated from trade routes,0
87,TF,If early Buddhism had not spread along Silk Road routes; East Asian religious patterns would have remained identical.,b,False,False,b,False,1
88,MCQ,If the Qin Dynasty had preserved its legalist reforms but avoided harsh rule; what is the most plausible outcome?,a,Qin rule lasts significantly longer,A,a,Qin rule lasts significantly longer,1
89,TF,If the Sumerians had never invented the wheel; early urban logistics would have progressed at the same rate.,b,False,False,b,False,1
90,MCQ,If the Roman Empire had fully conquered Germania; which long-term consequence is most plausible?,a,Germanic tribal identities weaken; delaying medieval kingdoms,A,a,Germanic tribal identities weaken; delaying medieval kingdoms,1
91,TF,If the Shang Dynasty had adopted a more centralized bureaucracy; Zhou conquest would still have occurred.,a,True,False,b,False,0
92,MCQ,If the Etruscans had established a Mediterranean naval empire; what is the most plausible outcome?,a,Greek colonial expansion is slowed,A,a,Greek colonial expansion is slowed,1
93,TF,If the Chola Empire had continued maritime dominance into the 13th century; Southeast Asian politics would be unchanged.,b,False,False,b,False,1
94,MCQ,If the Amorites had not taken over Babylon; which outcome is most plausible?,a,Hammurabi’s legal reforms never arise,A,a,Hammurabi’s legal reforms never arise,1
95,TF,If ancient Persia had not built the Royal Road; administrative cohesion across the empire would remain unchanged.,b,False,False,b,False,1
96,MCQ,If the Nabataeans had industrialized desert water management earlier; what becomes most plausible?,a,Nabataean urban centers rival Roman cities,A,a,Nabataean urban centers rival Roman cities,1
97,TF,If the Seleucid Empire had managed to retain control over its eastern territories; its decline would have happened on the same timeline.,b,False,False,b,False,1
98,MCQ,If the Philistine confederation had unified into a stronger kingdom; which outcome is most plausible?,a,Israelite expansion slows significantly,A,a,Israelite expansion slows significantly,1
99,TF,If ancient Chinese states had not adopted iron tools; agricultural productivity would have been unchanged.,b,False,False,b,False,1
100,MCQ,If the Armenian Kingdom of Cilicia had survived longer; which effect is most plausible?,a,Crusader states receive stronger regional support,A,a,Crusader states receive stronger regional support,1
101,TF,If ancient Korean kingdoms had not adopted Chinese writing; political centralization would still have occurred the same way.,b,False,False,b,False,1
102,MCQ,If Carthage had permanently controlled Sicily; which outcome becomes most plausible?,a,Roman naval development slows significantly,C,c,Egypt forms an alliance with Rome,0
103,TF,If the Maurya Empire had not collapsed; Hellenistic influence on India would have remained unchanged.,b,False,False,b,False,1
104,MCQ,If the early Islamic Caliphates had adopted federal forms of governance; which result is most plausible?,a,Internal revolts decrease significantly,A,a,Internal revolts decrease significantly,1
105,TF,If the early Slavic tribes had urbanized sooner; Eastern European medieval development would have been identical.,b,False,False,b,False,1
106,MCQ,If the Song Dynasty had not developed advanced naval technologies; which outcome becomes most plausible?,a,China loses influence over Southeast Asian trade,A,a,China loses influence over Southeast Asian trade,1
107,TF,If ancient India had not formalized the concept of zero; mathematical development worldwide would be unchanged.,b,False,False,b,False,1
108,MCQ,If the Mamluks had lost the Battle of Ain Jalut (1260); which development is most plausible?,a,The Mongols expand into North Africa,A,a,The Mongols expand into North Africa,1
109,TF,If ancient Greece had never adopted the Phoenician alphabet; Greek culture would have spread the same way.,b,False,False,b,False,1
110,MCQ,If the Kingdom of Ghana had expanded further into the Sahara; which long-term consequence is most plausible?,a,Trans-Saharan trade becomes West Africa–dominated,A,a,Trans-Saharan trade becomes West Africa–dominated,1
111,TF,If the Romans had not adopted Greek philosophical traditions; Roman intellectual culture would be unchanged.,b,False,False,b,False,1
112,MCQ,If ancient Japan had developed a unified bureaucratic state before 600 CE; what becomes most plausible?,a,Japan centralizes earlier and expands regionally,A,a,Japan centralizes earlier and expands regionally,1
113,TF,If the Hellenistic kingdoms had formed a unified alliance after Alexander's death; Roman expansion would still have occurred at the same pace.,b,False,False,b,False,1
114,MCQ,If the ancient Celts had developed written administrative systems; which outcome is most plausible?,a,Celtic states resist Roman conquest more effectively,A,a,Celtic states resist Roman conquest more effectively,1
115,TF,If early Islam had not expanded into Persia; the region's later religious developments would be identical.,b,False,False,b,False,1
116,MCQ,If Byzantium had reconquered Italy permanently in the 6th century; what is the most plausible outcome?,a,The Papacy becomes politically subordinate to Constantinople,A,a,The Papacy becomes politically subordinate to Constantinople,1
117,TF,If ancient Arabia had not domesticated the camel; Arabian trade networks would be unchanged.,b,False,False,b,False,1
118,MCQ,If the Mauryan Empire had expanded deeper into Central Asia; which outcome becomes most plausible?,a,Indo-Greek kingdoms never arise,A,a,Indo-Greek kingdoms never arise,1
119,TF,If the early Persian empires had not adopted Aramaic as an administrative language; imperial governance would have functioned identically.,b,False,False,b,False,1
120,MCQ,If the Kushan Empire had expanded further into India; which long-term outcome is most plausible?,a,Central Asian cultural influence spreads deeper into India,A,a,Central Asian cultural influence spreads deeper into India,1
121,MCQ,If the administrative adjustments introduced during an often-disputed regional recalibration in the late classical period had been implemented without delays attributed to external uncertainties; which downstream consequence is least inconsistent with contested demographic interpretations?,c,Redistribution cycles become briefly more predictable,C,c,Redistribution cycles become briefly more predictable,1
122,TF,If the indirect cultural transmission attributed to an uncertain migratory cluster did not occur in the period commonly assumed; subsequent institutional divergence would have unfolded identically.,a,True,False,b,False,0
123,MCQ,Had the infrastructural adjustments credited to an ambiguous proto-centralized authority been adopted inconsistently rather than uniformly; what hypothetical developmental shift aligns most loosely with partial material evidence?,b,Peripheral sectors show delayed but parallel transitions,C,c,Interregional disparity expands before moderating,0
124,TF,If the climatic irregularity believed to synchronize with early political consolidation was shorter than currently estimated; the subsequent geopolitical sequencing would remain effectively identical.,a,True,False,b,False,0
125,MCQ,If the loosely documented elite coalition during an unstable transitional episode had not relied on indirect legitimization practices; which outcome is most minimally contradicted by comparative cross-polity evidence?,a,Consensus-building mechanisms remain shallow yet functional,B,b,Peripheral actors display inconsistent alignment behaviors,0
126,TF,If the rarely corroborated population redistribution associated with mid-era frontier adjustments did not occur at the scale assumed by older models; regional development trajectories still converge on the same intervals.,b,False,False,b,False,1
127,MCQ,If the uneven adoption of a secondary administrative tool—whose chronology remains disputed—had occurred with marginally better coordination; which ambiguous consequence appears least incompatible with indirect textual references?,a,Slight reductions in interregional friction,A,a,Slight reductions in interregional friction,1
128,TF,If the ambiguous coastal realignment thought to precede later economic shifts never materialized; the economic asymmetry observed centuries later would be identical.,a,True,False,b,False,0
129,MCQ,Had the contested interregional linkage claimed to elevate a fluctuating frontier economy been substantially weaker; which result remains minimally contradictory across disputed archaeological syntheses?,c,Cultural diffusion becomes patchy but not directionless,C,c,Cultural diffusion becomes patchy but not directionless,1
130,TF,If the ideological cycle associated with a poorly documented doctrinal pivot had begun later than assumed; the long-term regional differentiation still follows the same contour.,a,True,False,b,False,0
131,MCQ,If the unresolved power-sharing arrangement rumored to exist during a transitional succession had been more explicit; which secondary pattern aligns least inconsistently with ambiguous material correlations?,b,Administrative layering becomes briefly more coherent,B,b,Administrative layering becomes briefly more coherent,1
132,TF,If the minor resource imbalance theorized to influence settlement movement was narrower than earlier climatological models suggest; residential dispersion patterns would not differ substantially.,a,True,True,a,True,1
133,MCQ,If the half-documented institutional experiments undertaken during an obscure administrative transition had been abandoned earlier; which hypothetical downstream pattern retains the weakest inconsistency with contested regional analogies?,d,Regional power symmetry persists longer than assumed,A,a,Localized bureaucratic layering reverts then stabilizes,0
134,TF,If the cross-border ideological cross-pollination often overstated by older scholarship played a negligible role; regional consolidation patterns would not shift significantly.,a,True,True,a,True,1
135,MCQ,If a selectively adopted ceremonial practice thought to symbolize elite cohesion had diffused more unevenly; which obscure derivative effect aligns weakly with disputed ceremonial records?,d,Symbolic conformity deepens even as political cohesion weakens,B,b,Administrative cycles become more synchronized but brittle,0
136,TF,If the secondary geopolitical fluctuation attributed to unverified external pressures was actually internal; long-term sectoral divergence remains effectively identical.,b,False,False,b,False,1
137,MCQ,If the ambiguous mid-tier cultural integration event had been more diffuse than concentrated; which downstream trend seems least contradicted by conflicting ethnographic analogies?,c,Core regions register only soft realignments,C,c,Core regions register only soft realignments,1
138,TF,If the fluctuating economic valuation believed to destabilize regional exchange networks was actually an artifact of later historiography; the resulting commercial rhythms would remain unchanged.,a,True,True,a,True,1
139,MCQ,If the partly mythologized interregional linkage through a disputed maritime corridor had developed unevenly; what is the least implausible structural implication?,b,Overland exchanges intensify despite fluctuating incentives,C,c,Peripheral merchants adopt inconsistent hybrid practices,0
140,TF,If the institutional recalibration attributed to a transient ideological resurgence occurred slightly later than believed; internal political equilibrium still follows the same approximate cycles.,a,True,True,a,True,1
141,MCQ,If the indirect influence of a loosely connected external network—whose extent remains indeterminate—had been moderately stronger; which downstream pattern aligns least poorly with conflicting data models?,c,Core regions experience mild but reversible specialization,C,c,Core regions experience mild but reversible specialization,1
142,TF,If the speculative redistribution of agrarian labor hypothesized in earlier analyses was overstated; the long-term socio-political gradation remains effectively identical.,a,True,False,b,False,0
143,MCQ,If the vaguely documented surge in elite factionalism had been mitigated by indirect institutional balancing; which counterintuitive scenario is least contradictory across partial records?,b,Symbolic authority diverges from operative power,B,b,Symbolic authority diverges from operative power,1
144,TF,If the attributed influence of a minor environmental fluctuation on cultural repositioning was marginal rather than moderate; the overall developmental trajectory would remain unaltered.,a,True,False,b,False,0
145,MCQ,If the disjointed institutional responses following a poorly understood crisis were more synchronized; which emergent pattern resonates least inconsistently with multi-layer comparative interpretations?,b,A muted but persistent strengthening of elite negotiation,A,a,A temporary harmonization of regional governance structures,0
146,TF,If the significance of a secondary military innovation is overstated in retrospective analyses; geopolitical outcomes remain fundamentally unchanged.,b,False,True,a,True,0
147,MCQ,If the gradual emergence of hybridized commercial norms during a contested economic transition had been more sporadic; which interpretation minimally conflicts with inconsistent merchant archives?,c,Peripheral innovations briefly predate core adoption,C,c,Peripheral innovations briefly predate core adoption,1
148,TF,If the ceremonial shift thought to precede cultural bifurcation was far less pronounced; the divergence would follow approximately the same pattern.,a,True,False,b,False,0
149,MCQ,If the contested realignment of mid-tier political actors unfolded with slightly higher cohesion; which long-horizon interpretation least contradicts stratified archaeological syntheses?,b,Core settlement density becomes marginally more concentrated,B,b,Core settlement density becomes marginally more concentrated,1
150,TF,If the role of ambiguous technological diffusion in regional restructuring is overstated; developmental outcomes remain largely identical.,a,True,False,b,False,0
151,MCQ,If indirect tax-normalization attempts attributed to a transitional bureaucracy were delayed; which systemic consequence is least incompatible with fragmentary administrative data?,a,Central authority exhibits uneven stabilization,A,a,Central authority exhibits uneven stabilization,1
152,TF,If the intensification of court intermediaries’ influence is overstated in classical interpretations; long-term institutional instability remains essentially unchanged.,b,False,False,b,False,1
153,MCQ,If the doctrinal reorientation attributed to ideological overcorrection had not occurred; which subtle developmental deviation aligns minimally with broad-scope cultural models?,d,Central orthodoxy persists longer but becomes brittle,B,b,Symbolic authority shifts upward without widening,0
154,TF,If the commercial networks believed to structure long-term exchange cycles were more fragile than currently assumed; geopolitical transformation remains effectively unchanged.,a,True,False,b,False,0
155,MCQ,If the adoption of variable combat structures during a transitional military phase had been slower; which indirect effect seems least incompatible with conflicting military treatises?,d,Symbolic military hierarchies intensify while functional roles dilute,B,b,Core units stabilize before degenerating in capacity,0
156,TF,If the inferred early political unification patterns of a proto-polity are exaggerated; the later fragmentation sequence remains virtually identical.,a,True,False,b,False,0
157,MCQ,If speculative maritime-continental integration cycles were delayed by indirect cultural bottlenecks; which derivative impact appears least contradicted by multi-regional comparative syntheses?,b,Overland exchange networks stabilize fleetingly,C,c,Hybrid institutions emerge then recede,0
158,TF,If the spread of iron-based value markers was slower than once believed; internal economic diversification still follows the same broad contours.,a,True,True,a,True,1
159,MCQ,If climate-adaptive hydraulic adjustments in an early urban complex had been more experimental than coordinated; which systemic implication minimally deviates from stratified environmental readings?,d,Symbolic urban centrality persists despite spatial contractions,D,d,Symbolic urban centrality persists despite spatial contractions,1
160,TF,If dynastic recalibration depended less on ceremonial legitimacy than assumed; the eventual macro-scale decline unfolds along the same approximate timeline.,a,True,False,b,False,0
121,MCQ,If the administrative adjustments introduced during an often-disputed regional recalibration in the late classical period had been implemented without delays attributed to external uncertainties; which downstream consequence is least inconsistent with contested demographic interpretations?,c,Redistribution cycles become briefly more predictable,C,c,Redistribution cycles become briefly more predictable,1
122,TF,If the indirect cultural transmission attributed to an uncertain migratory cluster did not occur in the period commonly assumed; subsequent institutional divergence would have unfolded identically.,a,True,False,b,False,0
123,MCQ,Had the infrastructural adjustments credited to an ambiguous proto-centralized authority been adopted inconsistently rather than uniformly; what hypothetical developmental shift aligns most loosely with partial material evidence?,b,Peripheral sectors show delayed but parallel transitions,D,d,Cultural divergence accelerates then plateaus,0
124,TF,If the climatic irregularity believed to synchronize with early political consolidation was shorter than currently estimated; the subsequent geopolitical sequencing would remain effectively identical.,a,True,False,b,False,0
125,MCQ,If the loosely documented elite coalition during an unstable transitional episode had not relied on indirect legitimization practices; which outcome is most minimally contradicted by comparative cross-polity evidence?,a,Consensus-building mechanisms remain shallow yet functional,B,b,Peripheral actors display inconsistent alignment behaviors,0
126,TF,If the rarely corroborated population redistribution associated with mid-era frontier adjustments did not occur at the scale assumed by older models; regional development trajectories still converge on the same intervals.,b,False,False,b,False,1
127,MCQ,If the uneven adoption of a secondary administrative tool—whose chronology remains disputed—had occurred with marginally better coordination; which ambiguous consequence appears least incompatible with indirect textual references?,a,Slight reductions in interregional friction,A,a,Slight reductions in interregional friction,1
128,TF,If the ambiguous coastal realignment thought to precede later economic shifts never materialized; the economic asymmetry observed centuries later would be identical.,a,True,False,b,False,0
129,MCQ,Had the contested interregional linkage claimed to elevate a fluctuating frontier economy been substantially weaker; which result remains minimally contradictory across disputed archaeological syntheses?,c,Cultural diffusion becomes patchy but not directionless,C,c,Cultural diffusion becomes patchy but not directionless,1
130,TF,If the ideological cycle associated with a poorly documented doctrinal pivot had begun later than assumed; the long-term regional differentiation still follows the same contour.,a,True,False,b,False,0
131,MCQ,If the unresolved power-sharing arrangement rumored to exist during a transitional succession had been more explicit; which secondary pattern aligns least inconsistently with ambiguous material correlations?,b,Administrative layering becomes briefly more coherent,B,b,Administrative layering becomes briefly more coherent,1
132,TF,If the minor resource imbalance theorized to influence settlement movement was narrower than earlier climatological models suggest; residential dispersion patterns would not differ substantially.,a,True,True,a,True,1
133,MCQ,If the half-documented institutional experiments undertaken during an obscure administrative transition had been abandoned earlier; which hypothetical downstream pattern retains the weakest inconsistency with contested regional analogies?,d,Regional power symmetry persists longer than assumed,A,a,Localized bureaucratic layering reverts then stabilizes,0
134,TF,If the cross-border ideological cross-pollination often overstated by older scholarship played a negligible role; regional consolidation patterns would not shift significantly.,a,True,True,a,True,1
135,MCQ,If a selectively adopted ceremonial practice thought to symbolize elite cohesion had diffused more unevenly; which obscure derivative effect aligns weakly with disputed ceremonial records?,d,Symbolic conformity deepens even as political cohesion weakens,D,d,Symbolic conformity deepens even as political cohesion weakens,1
136,TF,If the secondary geopolitical fluctuation attributed to unverified external pressures was actually internal; long-term sectoral divergence remains effectively identical.,b,False,False,b,False,1
137,MCQ,If the ambiguous mid-tier cultural integration event had been more diffuse than concentrated; which downstream trend seems least contradicted by conflicting ethnographic analogies?,c,Core regions register only soft realignments,B,b,Peripheral realms shift toward unpredictable hybridization,0
138,TF,If the fluctuating economic valuation believed to destabilize regional exchange networks was actually an artifact of later historiography; the resulting commercial rhythms would remain unchanged.,a,True,True,a,True,1
